,$,def,ident,(,),{,},int,float,string,",",;,break,[,int_constant,],#ERROR!,call,print,read,return,if,else,for,new,<,>,#ERROR!,!=,#ERROR!,-,*,/,%,float_constant,string_constant,null
S,S ::= start $,S ::= start $,S ::= start $,,,S ::= start $,,S ::= start $,S ::= start $,S ::= start $,,S ::= start $,S ::= start $,,,,,,S ::= start $,S ::= start $,S ::= start $,S ::= start $,,S ::= start $,,,,,,,,,,,,,
start,start ::= ε,start ::= FUNCLIST,start ::= STATEMENT,,,start ::= STATEMENT,,start ::= STATEMENT,start ::= STATEMENT,start ::= STATEMENT,,start ::= STATEMENT,start ::= STATEMENT,,,,,,start ::= STATEMENT,start ::= STATEMENT,start ::= STATEMENT,start ::= STATEMENT,,start ::= STATEMENT,,,,,,,,,,,,,
FUNCLIST,,FUNCLIST ::= FUNCDEF FUNCLIST',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCLIST',FUNCLIST' ::= ε,FUNCLIST' ::= FUNCLIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,FUNCDEF ::= def ident ( PARAMLIST ) { STATELIST },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMLIST,,,,,PARAMLIST ::= ε,,,PARAMLIST ::= int ident PARAMLIST',PARAMLIST ::= float ident PARAMLIST',PARAMLIST ::= string ident PARAMLIST',,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMLIST',,,,,PARAMLIST' ::= ε,,,,,,"PARAMLIST' ::= , PARAMLIST",,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,STATEMENT ::= ATRIBSTAT ;,,,STATEMENT ::= { STATELIST },,STATEMENT ::= VARDECL ;,STATEMENT ::= VARDECL ;,STATEMENT ::= VARDECL ;,,STATEMENT ::= ;,STATEMENT ::= break ;,,,,,,STATEMENT ::= PRINTSTAT ;,STATEMENT ::= READSTAT ;,STATEMENT ::= RETURNSTAT ;,STATEMENT ::= IFSTAT,,STATEMENT ::= FORSTAT,,,,,,,,,,,,,
VARDECL,,,,,,,,VARDECL ::= int ident VARDECL',VARDECL ::= float ident VARDECL',VARDECL ::= string ident VARDECL',,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECL',,,,,,,,,,,,VARDECL' ::= ε,,VARDECL' ::= [ int_constant ] VARDECL',,,,,,,,,,,,,,,,,,,,,,,
ATRIBSTAT,,,ATRIBSTAT ::= LVALUE = ATRIBSTAT',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATRIBSTAT',,,ATRIBSTAT' ::= EXPRESSION,ATRIBSTAT' ::= EXPRESSION,,,,,,,,,,,ATRIBSTAT' ::= EXPRESSION,,,ATRIBSTAT' ::= FUNCCALL,,,,,,,ATRIBSTAT' ::= ALLOCEXPRESSION,,,,,ATRIBSTAT' ::= EXPRESSION,ATRIBSTAT' ::= EXPRESSION,,,,ATRIBSTAT' ::= EXPRESSION,ATRIBSTAT' ::= EXPRESSION,ATRIBSTAT' ::= EXPRESSION
FUNCCALL,,,,,,,,,,,,,,,,,,FUNCCALL ::= call ident ( PARAMLISTCALL ),,,,,,,,,,,,,,,,,,,
PARAMLISTCALL,,,PARAMLISTCALL ::= ident PARAMLISTCALL',,PARAMLISTCALL ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
